run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.batteryInit_mJ,5000,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.checkHmac,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.checkFreshness,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.checkDuplicate,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.duplicateMethod,"""set""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.bloomBits,16384,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.bloomHashes,3,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.sbfBits,16384,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.sbfHashes,3,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.sbfDecay,0.02,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.attackMode,1,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.replayInterval,2.5s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.validMac,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.replayId,100000,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.replayTsUs,500000,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.dupBurstLen,4,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.dupBurstGap,200ms,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.outOfOrderJitter,80ms,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,configname,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,datetime,20250914-01:27:43,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,datetimef,20250914-012743,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,experiment,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,inifile,run_record.ini,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,iterationvars,,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,iterationvarsd,,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,iterationvarsf,,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,measurement,,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,processid,67754,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,repetition,0,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,replication,#0,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,resultdir,results,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,runnumber,0,
Secure50_bloom-0-20250914-01:27:43-67754,runattr,,,seedset,123,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.batteryInit_mJ,10000,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.stageOrder,"""FHB""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/perms_secure50/FHB.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/perms_secure50/FHB.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,record-eventlog,false,
