run,type,module,name,attrname,attrvalue,value
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,iterationvarsd,,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,iterationvarsf,,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,measurement,,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,network,ned.LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,processid,7308,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,repetition,0,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,replication,#0,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,resultdir,results,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,runnumber,0,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,seedset,123,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.result-recording-modes,all,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.scalar-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.vector-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/Attack20_sbf-0.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/Attack20_sbf-0.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,record-eventlog,false,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,extends,Attack20_record,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.duplicateMethod,"""sbf""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfBits,16384,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfHashes,3,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfDecay,0.02,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,network,ned.LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,LightIoTNetwork.numSensorNodes,20,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.sensor[*].mode,"""Secure""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.enabled,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.validMac,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.securityEnabled,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.hmacWindow,1s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack20_sbf-0-20250912-21:40:14-7308,config,,,network,ned.LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,ned-path,.,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,sim-time-limit,10s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,record-eventlog,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,cmdenv-express-mode,false,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,network,ned.LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,sim-time-limit,10s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/secure_output.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/secure_output.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,network,LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,sim-time-limit,10s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/nosecure_output.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/nosecure_output.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,network,LightIoTNetwork,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,sim-time-limit,10s,
