run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-02:02:45-82759,config,,,rng-class,cMersenneTwister,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,num-rngs,1,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,seed-set,123,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.sensor[*].sendInterval,0.5s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.procDelay,1ms,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.hmacWindow,1s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.costForward_mJ,5,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.costVerify_mJ,5,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.batteryInit_mJ,5000,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.checkHmac,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.checkFreshness,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.checkDuplicate,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.duplicateMethod,"""set""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.bloomBits,16384,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.bloomHashes,3,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.sbfBits,16384,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.sbfHashes,3,
