run,repetition,module,name,value
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Dropped_HMAC,3
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Dropped_Stale,2
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Dropped_Duplicate,3
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_BatteryRemaining_mJ,305
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.cloud,Cloud_TotalReceived,468
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,0.0010000039831197
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,3
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[5],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[6],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[7],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[8],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[9],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[10],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[11],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[12],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[13],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[14],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[15],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[16],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[17],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[18],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[19],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[20],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[21],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[22],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[23],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[24],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[25],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[26],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[27],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[28],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[29],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[30],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[31],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[32],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[33],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[34],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[35],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[36],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80487,0,LightIoTNetwork.sensor[37],Sensor_EnergyRemaining_mJ,4820
